hotelname,address,district,lat,lon,rating,count_rating,star,budget,time,facilities,service,district,URL,image1,image2,review
Silverland Sakyo Hotel,"10A Lê Thánh Tôn Street, Quận 1, Thành Phố Hồ Chí Minh",1,10.7816985,106.7053559985487,4.4,963,4,2863315.0,"1 đêm, bao gồm thuế và phí","Bữa sáng miễn phí, Wi-Fi miễn phí, Bể bơi, Bồn tắm nước nóng, Điều hòa nhiệt độ, Trung tâm thể dục, Spa, Quán bar",Chăm Sóc Sức Khỏe · Quầy Bar · Spa,1,https://www.google.com/travel/search?q=resort%20qu%E1%BA%ADn%201&g2lb=203023%2C4965990%2C72317059%2C72414906%2C72471280%2C72485658%2C72560029%2C72573224%2C72647020%2C72686036%2C72803964%2C72882230%2C72958624%2C72959983%2C73010541%2C73059275%2C73064764%2C73107089%2C73148423%2C73157405%2C73177761%2C73179103&hl=vi-VN&gl=vn&ssta=1&ts=CAESCgoCCAMKAggDEAAaUQozEjEyJTB4MzE3NTJmMzhmOWVkODg3YjoweDE0YWRlZDU3MDM3Njg5ODk6CFF14bqtbiAxEhoSFAoHCOkPEAsYGxIHCOkPEAsYHBgBMgIQACoLCgk6A1ZORFoCFBE&qs=CAAgACgAMiZDaGdJNC1mNzdPT2R2dUFnR2d3dlp5OHhjVFpxTldOZmExOFFBUTgNSAA&ap=KigKEgkc56LvLIglQBHNHom0AataQBISCaB8rAjTlCVAEc0eiVi2rFpAMAFoAboBB3Jldmlld3M&ictx=111&ved=0CCQQwIsFahgKEwjwqcOsh-OQAxUAAAAAHQAAAAAQ9AI,https://lh3.googleusercontent.com/p/AF1QipPHeeuGChdozt5ilj7stoUbhmQHsMD2UbS4Js-J=s287-w287-h192-n-k-no-v1,https://lh3.googleusercontent.com/p/AF1QipOVl4ibngHp69OlgWbvluzYVOjUWzhLs1nSbEAQ=s287-w287-h192-n-k-no-v1,"Khách sạn sạch sẽ, mới đẹp. Nơi tuyệt vời để nghỉ dưỡng"
La Siesta Premium Saigon,"180 - 188 Lý Tự Trọng, Quận 1, Thành Phố Hồ Chí Minh",1,10.778569486821247,106.7015995871049,4.9,771,5,4334968.0,"1 đêm, bao gồm thuế và phí","Bữa sáng miễn phí, Wi-Fi miễn phí, Chỗ đậu xe, Bể bơi ngoài trời, Điều hòa nhiệt độ, Trung tâm thể dục, Spa, Quán bar",Quầy Bar · Món Ăn Sáng · Phòng Tập Thể Dục,1,https://www.google.com/travel/search?q=resort%20qu%E1%BA%ADn%201&g2lb=203023%2C4965990%2C72317059%2C72414906%2C72471280%2C72485658%2C72560029%2C72573224%2C72647020%2C72686036%2C72803964%2C72882230%2C72958624%2C72959983%2C73010541%2C73059275%2C73064764%2C73107089%2C73148423%2C73157405%2C73177761%2C73179103&hl=vi-VN&gl=vn&ssta=1&ts=CAESCgoCCAMKAggDEAAaUQozEjEyJTB4MzE3NTJmMzhmOWVkODg3YjoweDE0YWRlZDU3MDM3Njg5ODk6CFF14bqtbiAxEhoSFAoHCOkPEAsYGxIHCOkPEAsYHBgBMgIQACoLCgk6A1ZORFoCFBE&qs=CAAgACgAMihDaG9JX0xmRmlZbkl5ZXJTQVJvTkwyY3ZNVEYwYW5CMFpETnFiUkFCOA1IAA&ap=KigKEgkc56LvLIglQBHNHom0AataQBISCaB8rAjTlCVAEc0eiVi2rFpAMAFoAboBB3Jldmlld3M&ictx=111&ved=0CEAQwIsFahgKEwjwqcOsh-OQAxUAAAAAHQAAAAAQ9AI,https://lh3.googleusercontent.com/p/AF1QipPj_iEydFe4aiCC0PzqOjTAmWHh2Gg9Qr6xQG2n=s287-w287-h192-n-k-no-v1,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSymSU0ikp2aYF0pIk9kmK_brrMYRlVIJfQGZrBbel3APrk3ltj_GJH18E6lTrm-bOtn5lPcjMpNfz-RGd3lmBGTyzm7pwdJD4u5dqwPHwWXqoko5PiTIXqIx9ot_G-Zcb0Sldf72g=s287-w287-h192-n-k-no-v1,"Tuyệt vời không gian rộng, bãi đỗ xe khu vực yên tĩnh cảnh vật xung quanh đẹp."
Paradise Saigon Boutique Hotel & Spa,"288 Lê Thánh Tôn, Quận 1, Thành Phố Hồ Chí Minh",1,10.77517091861902,106.69999073167963,4.0,683,3,2749014.0,"1 đêm, bao gồm thuế và phí","Bữa sáng miễn phí, Wi-Fi miễn phí, Bể bơi, Bồn tắm nước nóng, Điều hòa nhiệt độ, Trung tâm thể dục, Spa, Quán bar",Món Ăn Sáng · Phòng Tập Thể Dục · Quầy Bar,1,https://www.google.com/travel/search?q=resort%20qu%E1%BA%ADn%201&g2lb=203023%2C4965990%2C72317059%2C72414906%2C72471280%2C72485658%2C72560029%2C72573224%2C72647020%2C72686036%2C72803964%2C72882230%2C72958624%2C72959983%2C73010541%2C73059275%2C73064764%2C73107089%2C73148423%2C73157405%2C73177761%2C73179103&hl=vi-VN&gl=vn&ssta=1&ts=CAESCgoCCAMKAggDEAAaUQozEjEyJTB4MzE3NTJmMzhmOWVkODg3YjoweDE0YWRlZDU3MDM3Njg5ODk6CFF14bqtbiAxEhoSFAoHCOkPEAsYGxIHCOkPEAsYHBgBMgIQACoLCgk6A1ZORFoCFBE&qs=CAAgACgAMiZDaGdJbmM2RWg4ZmsySjVHR2d3dlp5OHhlV2RpWWpobWEzb1FBUTgNSAA&ap=KigKEgkc56LvLIglQBHNHom0AataQBISCaB8rAjTlCVAEc0eiVi2rFpAMAFoAboBB3Jldmlld3M&ictx=111&ved=0CGQQwIsFahgKEwjwqcOsh-OQAxUAAAAAHQAAAAAQ9AI,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyPRPlBFFX1E8F3WPgFljt-Z-OPzzZ21bK3zk6i_frf0cvmmaQszhm4HneAw0lX0yMbJce3LVgAJmgdatYpgW9XSBVQpHVQ-IKTEOVlgiv0miRqHU9JHA-lFhTf2C52SUyCTN_z1g=s287-w287-h192-n-k-no-v1,https://lh3.googleusercontent.com/p/AF1QipMmQfZ8ZLQs2A00bBs-9JpTz_dqh8bhQuYAsUfl=s287-w287-h192-n-k-no-v1,"Quite, beautiful place. 6 km to the sea but not a big problem."
ICON Saigon - LifeStyle Design Hotel,"65-67 Hai Bà Trưng, Quận 1, Thành Phố Hồ Chí Minh",1,10.7769449,106.7045389,4.4,670,4,2175309.0,"1 đêm, bao gồm thuế và phí","Bữa sáng miễn phí, Wi-Fi miễn phí, Bể bơi, Điều hòa nhiệt độ, Quán bar, Nhà hàng, Dịch vụ phòng, Xe đưa đón ra sân bay",Món Ăn Sáng · Quầy Bar · Phòng Tập Thể Dục,1,https://www.google.com/travel/search?q=resort%20qu%E1%BA%ADn%201&g2lb=203023%2C4965990%2C72317059%2C72414906%2C72471280%2C72485658%2C72560029%2C72573224%2C72647020%2C72686036%2C72803964%2C72882230%2C72958624%2C72959983%2C73010541%2C73059275%2C73064764%2C73107089%2C73148423%2C73157405%2C73177761%2C73179103&hl=vi-VN&gl=vn&ssta=1&ts=CAESCgoCCAMKAggDEAAaUQozEjEyJTB4MzE3NTJmMzhmOWVkODg3YjoweDE0YWRlZDU3MDM3Njg5ODk6CFF14bqtbiAxEhoSFAoHCOkPEAsYGxIHCOkPEAsYHBgBMgIQACoLCgk6A1ZORFoCFBE&qs=CAAgACgAMidDaGtJeTlIbjJlcWY4T0FQR2cwdlp5OHhNV293WkRWaWNUaG1FQUU4DUgA&ap=KigKEgkc56LvLIglQBHNHom0AataQBISCaB8rAjTlCVAEc0eiVi2rFpAMAFoAboBB3Jldmlld3M&ictx=111&ved=0CNUBEMCLBWoYChMI8KnDrIfjkAMVAAAAAB0AAAAAEPQC,https://lh4.googleusercontent.com/proxy/9gteVevNtXYeCBbd9LU9U19XdqeO2UpjdWQ2Y4jFIrvK1w0nOTAOdPr7TqJfPUWd6Ym5pBpVdbq_YpKxtSI2bdQlyYaeW_F58Ds7WpB51F6puE45p624RGSqdawtZ65VdDOTXIYT6315AITkPyCJJXyD18vkTA=s287-w287-h192-n-k-no-v1,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxmuls1aVkLaVXT5EB4nRHJvqFZHgmIq1Squ1Q_vVjgOILin9pQ79VLTg96nUO5ceYa4DKPDJEr3wHte8ClT7OXbQsyxxxTVMirLxE3aGXMs8V9JXPLaiHQY9gMaWI9Iay4oz2g=s287-w287-h192-n-k-no-v1,These people are very friendly and the rooms  are impressive. They have a swimming pool which most places in the area doesn't have
Roseland Sweet Hotel,"04 Cao Bá Quát, Quận 1, Thành Phố Hồ Chí Minh",1,10.77824753755875,106.70447206334389,4.2,231,4,2055560.0,"1 đêm, bao gồm thuế và phí","Bữa sáng miễn phí, Wi-Fi miễn phí, Bể bơi, Bồn tắm nước nóng, Điều hòa nhiệt độ, Spa, Nhà hàng, Dịch vụ giặt là",Món Ăn Sáng · Vị Trí · Dịch Vụ,1,https://www.google.com/travel/search?q=resort%20qu%E1%BA%ADn%201&g2lb=203023%2C4965990%2C72317059%2C72414906%2C72471280%2C72485658%2C72560029%2C72573224%2C72647020%2C72686036%2C72803964%2C72882230%2C72958624%2C72959983%2C73010541%2C73059275%2C73064764%2C73107089%2C73148423%2C73157405%2C73177761%2C73179103&hl=vi-VN&gl=vn&ssta=1&ts=CAESCgoCCAMKAggDEAAaUQozEjEyJTB4MzE3NTJmMzhmOWVkODg3YjoweDE0YWRlZDU3MDM3Njg5ODk6CFF14bqtbiAxEhoSFAoHCOkPEAsYGxIHCOkPEAsYHBgBMgIQACoLCgk6A1ZORFoCFBE&qs=CAAgACgAMidDaGtJOXFDX2lyN1V4bzRUR2cwdlp5OHhNWFJ6TTNsek9WODFFQUU4DUgA&ap=KigKEgkc56LvLIglQBHNHom0AataQBISCaB8rAjTlCVAEc0eiVi2rFpAMAFoAboBB3Jldmlld3M&ictx=111&ved=0CPEBEMCLBWoYChMI8KnDrIfjkAMVAAAAAB0AAAAAEPQC,https://lh3.googleusercontent.com/p/AF1QipOq6LrmYJpIqsik6kIE623xjnVW_sVEAxSzRuJY=s287-w287-h192-n-k-no-v1,https://lh3.googleusercontent.com/p/AF1QipMUllfyfAZPbWR0WkU_mTXYlumXOKBEBtQB2Wzg=s287-w287-h192-n-k-no-v1,"far from the beach, far from anywhere to eat, in the middle of nowhere. They never clean the pool.tv doesn't work."
Sky Gem Hotel Sora,"11-13 Thái Văn Lung, Quận 1, Thành Phố Hồ Chí Minh",1,10.7794907,106.7043437,3.9,500,4,1586419.0,"1 đêm, bao gồm thuế và phí","Bữa sáng miễn phí, Wi-Fi miễn phí, Đỗ xe miễn phí, Bể bơi, Điều hòa nhiệt độ, Trung tâm thể dục, Quán bar, Nhà hàng",Dịch Vụ · Vị Trí,1,https://www.google.com/travel/search?q=resort%20qu%E1%BA%ADn%201&g2lb=203023%2C4965990%2C72317059%2C72414906%2C72471280%2C72485658%2C72560029%2C72573224%2C72647020%2C72686036%2C72803964%2C72882230%2C72958624%2C72959983%2C73010541%2C73059275%2C73064764%2C73107089%2C73148423%2C73157405%2C73177761%2C73179103&hl=vi-VN&gl=vn&ssta=1&ts=CAESCgoCCAMKAggDEAAaUQozEjEyJTB4MzE3NTJmMzhmOWVkODg3YjoweDE0YWRlZDU3MDM3Njg5ODk6CFF14bqtbiAxEhoSFAoHCOkPEAsYGxIHCOkPEAsYHBgBMgIQACoLCgk6A1ZORFoCFBE&qs=CAAgACgAMidDaGtJMFBhYTh0M05fY2NTR2cwdlp5OHhNWEo1Ym1weFluQnhFQUU4DUgA&ap=KigKEgkc56LvLIglQBHNHom0AataQBISCaB8rAjTlCVAEc0eiVi2rFpAMAFoAboBB3Jldmlld3M&ictx=111&ved=0CI0CEMCLBWoYChMI8KnDrIfjkAMVAAAAAB0AAAAAEPQC,https://lh3.googleusercontent.com/p/AF1QipNSQfM03iy3MYCUpl2lEb-h0m5TiZh11LcMhpIX=s287-w287-h192-n-k-no-v1,https://lh3.googleusercontent.com/p/AF1QipOvRYWadL79rqIC0WVLCTpTMdPLYIPKwufSixb7=s287-w287-h192-n-k-no-v1,Phòng ốc rất sạch sẽ. Giá cả phù hợp với chất lượng dịch vụ. Có cả bể bơi 🏊
Blue Diamond Luxury Hotel,"6B Thi Sách, Quận 1, Thành Phố Hồ Chí Minh",1,10.778232266159138,106.70466375926814,3.5,356,3,1219390.0,"1 đêm, bao gồm thuế và phí","Bữa sáng miễn phí, Wi-Fi miễn phí, Đỗ xe miễn phí, Điều hòa nhiệt độ, Nhà hàng, Dịch vụ phòng, Xe đưa đón ra sân bay, Dịch vụ giặt là",Món Ăn Sáng · Vị Trí,1,https://www.google.com/travel/search?q=resort%20qu%E1%BA%ADn%201&g2lb=203023%2C4965990%2C72317059%2C72414906%2C72471280%2C72485658%2C72560029%2C72573224%2C72647020%2C72686036%2C72803964%2C72882230%2C72958624%2C72959983%2C73010541%2C73059275%2C73064764%2C73107089%2C73148423%2C73157405%2C73177761%2C73179103&hl=vi-VN&gl=vn&ssta=1&ts=CAESCgoCCAMKAggDEAAaUQozEjEyJTB4MzE3NTJmMzhmOWVkODg3YjoweDE0YWRlZDU3MDM3Njg5ODk6CFF14bqtbiAxEhoSFAoHCOkPEAsYGxIHCOkPEAsYHBgBMgIQACoLCgk6A1ZORFoCFBE&qs=CAAgACgAMihDaG9JOUtyb3pKX0hqdXlfQVJvTkwyY3ZNVEZtYTIxZk5YTTBhaEFCOA1IAA&ap=KigKEgkc56LvLIglQBHNHom0AataQBISCaB8rAjTlCVAEc0eiVi2rFpAMAFoAboBB3Jldmlld3M&ictx=111&ved=0CKkCEMCLBWoYChMI8KnDrIfjkAMVAAAAAB0AAAAAEPQC,https://lh4.googleusercontent.com/proxy/ehU_bfNQ5CdAF5R8YCuWJcxbBtf3xK-XV_N972Cazp15bsj2RVcgYwbY45ROCgOdflMFP6zAMJl_rJAMKvj2iYdEheyYqbw2LVXRT61jTNVo2ctZB3-mHxu2nN5ScCcBS2fvx3WlXvVKmOkGAgkiaShSrHxphg=s287-w287-h192-n-k-no-v1,https://lh3.googleusercontent.com/p/AF1QipM3VZ3zBuUbxV-oX4f-ilBw1x2h5bk_R0kMjwaN=s287-w287-h192-n-k-no-v1,"Homestay mới xây, phòng rộng rãi, thoáng mát, giá hạt dẻ, ngay trung tâm nên đi đâu cũng thuận tiện, cô chú chủ nhà dễ thương"
Khách sạn Cochin Sang,"28-30 Nguyễn An Ninh, Quận 1, Thành Phố Hồ Chí Minh",1,10.77192915,106.69677609032207,4.4,903,4,2096256.0,"1 đêm, bao gồm thuế và phí","Bữa sáng miễn phí, Wi-Fi miễn phí, Bể bơi ngoài trời, Bồn tắm nước nóng, Điều hòa nhiệt độ, Spa, Chỗ đậu xe, Quán bar",Vị Trí · Dịch Vụ · Món Ăn Sáng,1,https://www.google.com/travel/search?q=resort%20qu%E1%BA%ADn%201&g2lb=203023%2C4965990%2C72317059%2C72414906%2C72471280%2C72485658%2C72560029%2C72573224%2C72647020%2C72686036%2C72803964%2C72882230%2C72958624%2C72959983%2C73010541%2C73059275%2C73064764%2C73107089%2C73148423%2C73157405%2C73177761%2C73179103&hl=vi-VN&gl=vn&ssta=1&ts=CAESCgoCCAMKAggDEAAaUQozEjEyJTB4MzE3NTJmMzhmOWVkODg3YjoweDE0YWRlZDU3MDM3Njg5ODk6CFF14bqtbiAxEhoSFAoHCOkPEAsYGxIHCOkPEAsYHBgBMgIQACoLCgk6A1ZORFoCFBE&qs=CAAgACgAMidDaGtJcUpqTjROeXIydXMwR2cwdlp5OHhNV05zZGpaM2VIZDJFQUU4DUgA&ap=KigKEgkc56LvLIglQBHNHom0AataQBISCaB8rAjTlCVAEc0eiVi2rFpAMAFoAboBB3Jldmlld3M&ictx=111&ved=0CPwCEMCLBWoYChMI8KnDrIfjkAMVAAAAAB0AAAAAEPQC,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxRhTmPxVr2t-Tek-MK8LinFEmSQPPZ4AuYfSZHUZ3pVHTBtFPRklDluJ7IiywYAPGh1mKjDyxi9FE9GwKqcmRO85xpcXYsIrMA3sgrB79lOQRqbdEPsAi0dvf8Wi8yd6w2v-KyuvkBm2st=s287-w287-h192-n-k-no-v1,https://lh5.googleusercontent.com/proxy/ff8-9KeJNH9xCnTPi0k3XkIPnB5ur5_lCW8e9Xh_ZONLgFXRJ4mBe0qf_VhRjLKKmnIrZUJ8C0HOkhmerZ_hM5U58GtW-BUnQOOpPs3pipXR7TYi5FSaUPq2axdLe7AmscaeL6RkiIgJ4MEOzrWozu_xFwoXwfQ=s287-w287-h192-n-k-no-v1,"Homestay mới xây dựng của cô chú ng địa phương. Có bếp nấu ăn, giá bình dân, phòng sạch sẽ thoáng mát có gác lửng :))"
The Reverie Saigon Residential Suites,"69A Dong Khoi, Quận 1, Thành Phố Hồ Chí Minh",1,10.7755415,106.7036466,4.7,194,5,6910987.0,"1 đêm, bao gồm thuế và phí","Bữa sáng miễn phí, Wi-Fi miễn phí, Đỗ xe miễn phí, Bể bơi, Bồn tắm nước nóng, Điều hòa nhiệt độ, Trung tâm thể dục, Spa",Dịch Vụ · Phòng · Cơ Sở Vật Chất,1,https://www.google.com/travel/search?q=resort%20qu%E1%BA%ADn%201&g2lb=203023%2C4965990%2C72317059%2C72414906%2C72471280%2C72485658%2C72560029%2C72573224%2C72647020%2C72686036%2C72803964%2C72882230%2C72958624%2C72959983%2C73010541%2C73059275%2C73064764%2C73107089%2C73148423%2C73157405%2C73177761%2C73179103&hl=vi-VN&gl=vn&ssta=1&ts=CAESCgoCCAMKAggDEAAaUQozEjEyJTB4MzE3NTJmMzhmOWVkODg3YjoweDE0YWRlZDU3MDM3Njg5ODk6CFF14bqtbiAxEhoSFAoHCOkPEAsYGxIHCOkPEAsYHBgBMgIQACoLCgk6A1ZORFoCFBE&qs=CAAgACgAMidDaGtJbGVIR3JkeU14cVlwR2cwdlp5OHhNV1JtTURWdU5GOXVFQUU4DUgA&ap=KigKEgkc56LvLIglQBHNHom0AataQBISCaB8rAjTlCVAEc0eiVi2rFpAMAFoAboBB3Jldmlld3M&ictx=111&ved=0CJgDEMCLBWoYChMI8KnDrIfjkAMVAAAAAB0AAAAAEPQC,https://lh5.googleusercontent.com/proxy/07vq85tcCI6CNKi2bsMhIhBVlgkPmfoYt5BbvRaa5L1nHWaTmT1g3Ny-aJckaN4llwmKOGpicEuO3UWTnGCeFlqPAmXjoHFXj_kgdx6i_KNdnUTdZtGlSd05RApJ88kALTNouLm_tnOEUavQxLZayds4ivoc6g0=s287-w287-h192-n-k-no-v1,https://lh4.googleusercontent.com/proxy/XhN7D0wMooorEMGhXkhcLErBBHY1tpV8FDSyaT6Gze2wCpjvUN4y969mVdZ-ZkXi3QHqwXdEtX6-EOpOeF3CZKw59l1S02hZM1AKjr4zHVmu38MVweRJKVNd4xb7HIT5QOVfH4VUo9rq84IkMA3Wo0ubXW2_gA=s287-w287-h192-n-k-no-v1,"Hotel sạch đẹp, di chuyển thuận tiện, chủ rất vui tính và nhiệt tình"
Ramada Encore by Wyndham Saigon D1,"7A Thái Văn Lung, Quận 1, Thành Phố Hồ Chí Minh",1,10.779218475505257,106.70465912612966,3.9,293,4,1937678.0,"1 đêm, bao gồm thuế và phí","Bữa sáng miễn phí, Wi-Fi miễn phí, Chỗ đậu xe, Bể bơi, Điều hòa nhiệt độ, Nhà hàng, Xe đưa đón ra sân bay, Dịch vụ giặt là",Món Ăn Sáng · Vị Trí · Phòng Tập Thể Dục,1,https://www.google.com/travel/search?q=resort%20qu%E1%BA%ADn%201&g2lb=203023%2C4965990%2C72317059%2C72414906%2C72471280%2C72485658%2C72560029%2C72573224%2C72647020%2C72686036%2C72803964%2C72882230%2C72958624%2C72959983%2C73010541%2C73059275%2C73064764%2C73107089%2C73148423%2C73157405%2C73177761%2C73179103&hl=vi-VN&gl=vn&ssta=1&ts=CAESCgoCCAMKAggDEAAaUQozEjEyJTB4MzE3NTJmMzhmOWVkODg3YjoweDE0YWRlZDU3MDM3Njg5ODk6CFF14bqtbiAxEhoSFAoHCOkPEAsYGxIHCOkPEAsYHBgBMgIQACoLCgk6A1ZORFoCFBE&qs=CAAgACgAMihDaG9JdG91UDhxMmNnNXpaQVJvTkwyY3ZNVEZ6TkdaalkyUTRPUkFCOA1IAA&ap=KigKEgkc56LvLIglQBHNHom0AataQBISCaB8rAjTlCVAEc0eiVi2rFpAMAFoAboBB3Jldmlld3M&ictx=111&ved=0CM4DEMCLBWoYChMI8KnDrIfjkAMVAAAAAB0AAAAAEPQC,https://lh3.googleusercontent.com/proxy/zfUF0JpRqQCxPsoRX99dUxQWZwDsVIIGSabBCThcnZbhCe4dsGT4PZDMQSVc85q18avpRhfruLzAEUmZjKKkCBtp_zgGQp76R8UFgSTXLCt-wDx5TwSFzHU3hcqBW2GKxlUNHkI6PwZaQuQRW9lVQ_AsUQU0bh8=s287-w287-h192-n-k-no-v1,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzdIkmwD8YC2DhOzQVxDNyZmvFKflP9yycV1cKl5qfnHbZ2IF5nOwgRd25MQMNgkFPCJlBMTlz9Ark8OcsmzjaTY4z2FpvtDr6lYhraWbVA2GEStcSeEFzYx-jBvfeXbOjiCmDQ=s287-w287-h192-n-k-no-v1,"Bà chủ cực kỳ rễ thương và rễ iu
Vị trí đối diện cảng, ngay trung tâm
Giá cả hợp lý
View ngay đối diện cầu cảng"
